InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,71053,WHITE METAL LANTERN,36,02/17/2011 14:00,3.39,UK1017,United Kingdom
536365,47566,PARTY BUNTING,22,02/17/2011 14:00,4.95,UK1017,United Kingdom
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,02/17/2011 14:00,2.55,UK1017,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,1,03/26/2011 10:00,1.85,UK1003,United Kingdom
536366,22752,SET 7 BABUSHKA NESTING BOXES,28,03/26/2011 10:00,7.65,UK1003,United Kingdom
536366,22423,REGENCY CAKESTAND 3 TIER,6,03/26/2011 10:00,12.75,UK1003,United Kingdom
536367,22752,SET 7 BABUSHKA NESTING BOXES,7,07/16/2011 09:00,7.65,UK1038,United Kingdom
536368,84406B,CREAM CUPID HEARTS COAT HANGER,19,02/20/2011 18:00,2.75,UK1002,United Kingdom
536368,21754,HOME BUILDING BLOCK WORD,28,02/20/2011 18:00,5.95,UK1002,United Kingdom
536369,47566,PARTY BUNTING,31,09-05-2011 12:00,4.95,UK1036,United Kingdom
536369,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,09-05-2011 12:00,2.55,UK1036,United Kingdom
536369,21754,HOME BUILDING BLOCK WORD,39,09-05-2011 12:00,5.95,UK1036,United Kingdom
536369,84029E,RED WOOLLY HOTTIE WHITE HEART,34,09-05-2011 12:00,3.39,UK1036,United Kingdom
536370,20725,LUNCH BAG RED RETROSPOT,35,06/14/2011 08:00,1.65,UK1036,United Kingdom
536370,21754,HOME BUILDING BLOCK WORD,39,06/14/2011 08:00,5.95,UK1036,United Kingdom
536370,21212,PACK OF 72 RETROSPOT CAKE CASES,32,06/14/2011 08:00,0.55,UK1036,United Kingdom
536370,22632,HAND WARMER RED POLKA DOT,34,06/14/2011 08:00,1.85,UK1036,United Kingdom
536371,47566,PARTY BUNTING,12,07/14/2011 16:00,4.95,UK1026,United Kingdom
536372,84406B,CREAM CUPID HEARTS COAT HANGER,5,09-10-2011 18:00,2.75,UK1005,United Kingdom
536372,22752,SET 7 BABUSHKA NESTING BOXES,30,09-10-2011 18:00,7.65,UK1005,United Kingdom
536372,47566,PARTY BUNTING,25,09-10-2011 18:00,4.95,UK1005,United Kingdom
536373,84879,ASSORTED COLOUR BIRD ORNAMENT,24,06/25/2011 08:00,1.69,UK1036,United Kingdom
536373,71053,WHITE METAL LANTERN,1,06/25/2011 08:00,3.39,UK1036,United Kingdom
536374,22632,HAND WARMER RED POLKA DOT,15,05-01-2011 14:00,1.85,UK1022,United Kingdom
536374,22423,REGENCY CAKESTAND 3 TIER,35,05-01-2011 14:00,12.75,UK1022,United Kingdom
536374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,05-01-2011 14:00,2.55,UK1022,United Kingdom
536374,21212,PACK OF 72 RETROSPOT CAKE CASES,12,05-01-2011 14:00,0.55,UK1022,United Kingdom
536374,84029E,RED WOOLLY HOTTIE WHITE HEART,10,05-01-2011 14:00,3.39,UK1022,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,08/19/2011 14:00,2.55,UK1034,United Kingdom
536375,20725,LUNCH BAG RED RETROSPOT,23,08/19/2011 14:00,1.65,UK1034,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,18,08/19/2011 14:00,2.75,UK1034,United Kingdom
536375,22633,HAND WARMER UNION JACK,28,08/19/2011 14:00,1.85,UK1034,United Kingdom
536376,71053,WHITE METAL LANTERN,1,01-04-2011 09:00,3.39,UK1026,United Kingdom
536376,22632,HAND WARMER RED POLKA DOT,35,01-04-2011 09:00,1.85,UK1026,United Kingdom
536376,22752,SET 7 BABUSHKA NESTING BOXES,25,01-04-2011 09:00,7.65,UK1026,United Kingdom
536376,22423,REGENCY CAKESTAND 3 TIER,5,01-04-2011 09:00,12.75,UK1026,United Kingdom
536376,20725,LUNCH BAG RED RETROSPOT,35,01-04-2011 09:00,1.65,UK1026,United Kingdom
536377,22633,HAND WARMER UNION JACK,27,01/18/2011 13:00,1.85,UK1025,United Kingdom
536377,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23,01/18/2011 13:00,2.55,UK1025,United Kingdom
536377,21754,HOME BUILDING BLOCK WORD,2,01/18/2011 13:00,5.95,UK1025,United Kingdom
536378,22752,SET 7 BABUSHKA NESTING BOXES,6,08-06-2011 09:00,7.65,UK1010,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,4,08-06-2011 09:00,0.55,UK1010,United Kingdom
536379,84406B,CREAM CUPID HEARTS COAT HANGER,25,07/21/2011 16:00,2.75,UK1033,United Kingdom
536379,21212,PACK OF 72 RETROSPOT CAKE CASES,24,07/21/2011 16:00,0.55,UK1033,United Kingdom
536379,21754,HOME BUILDING BLOCK WORD,9,07/21/2011 16:00,5.95,UK1033,United Kingdom
536380,21212,PACK OF 72 RETROSPOT CAKE CASES,38,06/25/2011 16:00,0.55,UK1034,United Kingdom
536381,22633,HAND WARMER UNION JACK,845,08/13/2011 08:00,1.85,UK1024,United Kingdom
536381,21212,PACK OF 72 RETROSPOT CAKE CASES,555,08/13/2011 08:00,0.55,UK1024,United Kingdom
536382,22752,SET 7 BABUSHKA NESTING BOXES,33,01/18/2011 10:00,7.65,UK1027,United Kingdom
536382,47566,PARTY BUNTING,7,01/18/2011 10:00,4.95,UK1027,United Kingdom
536382,22632,HAND WARMER RED POLKA DOT,35,01/18/2011 10:00,1.85,UK1027,United Kingdom
536382,21754,HOME BUILDING BLOCK WORD,24,01/18/2011 10:00,5.95,UK1027,United Kingdom
536382,22423,REGENCY CAKESTAND 3 TIER,15,01/18/2011 10:00,12.75,UK1027,United Kingdom
536383,20725,LUNCH BAG RED RETROSPOT,21,06/27/2011 09:00,1.65,UK1036,United Kingdom
536383,22632,HAND WARMER RED POLKA DOT,17,06/27/2011 09:00,1.85,UK1036,United Kingdom
536383,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,26,06/27/2011 09:00,3.75,UK1036,United Kingdom
536384,22632,HAND WARMER RED POLKA DOT,2,09/17/2011 09:00,1.85,UK1002,United Kingdom
536384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,09/17/2011 09:00,3.75,UK1002,United Kingdom
536385,84879,ASSORTED COLOUR BIRD ORNAMENT,22,10/20/2011 11:00,1.69,UK1017,United Kingdom
536386,84406B,CREAM CUPID HEARTS COAT HANGER,17,10-06-2011 10:00,2.75,UK1035,United Kingdom
536386,21754,HOME BUILDING BLOCK WORD,37,10-06-2011 10:00,5.95,UK1035,United Kingdom
536386,22633,HAND WARMER UNION JACK,32,10-06-2011 10:00,1.85,UK1035,United Kingdom
536386,47566,PARTY BUNTING,22,10-06-2011 10:00,4.95,UK1035,United Kingdom
536386,21730,GLASS STAR FROSTED T-LIGHT HOLDER,26,10-06-2011 10:00,4.25,UK1035,United Kingdom
536387,21212,PACK OF 72 RETROSPOT CAKE CASES,22,09/17/2011 10:00,0.55,UK1014,United Kingdom
536387,85123A,WHITE HANGING HEART T-LIGHT HOLDER,38,09/17/2011 10:00,2.55,UK1014,United Kingdom
536387,21754,HOME BUILDING BLOCK WORD,8,09/17/2011 10:00,5.95,UK1014,United Kingdom
536387,84879,ASSORTED COLOUR BIRD ORNAMENT,4,09/17/2011 10:00,1.69,UK1014,United Kingdom
536387,22423,REGENCY CAKESTAND 3 TIER,24,09/17/2011 10:00,12.75,UK1014,United Kingdom
536388,22752,SET 7 BABUSHKA NESTING BOXES,13,07-08-2011 18:00,7.65,UK1029,United Kingdom
536388,20725,LUNCH BAG RED RETROSPOT,12,07-08-2011 18:00,1.65,UK1029,United Kingdom
536388,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,25,07-08-2011 18:00,3.75,UK1029,United Kingdom
536388,22633,HAND WARMER UNION JACK,4,07-08-2011 18:00,1.85,UK1029,United Kingdom
536389,47566,PARTY BUNTING,5,07/15/2011 16:00,4.95,UK1026,United Kingdom
536389,84406B,CREAM CUPID HEARTS COAT HANGER,19,07/15/2011 16:00,2.75,UK1026,United Kingdom
536389,22632,HAND WARMER RED POLKA DOT,8,07/15/2011 16:00,1.85,UK1026,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,09/18/2011 17:00,2.55,UK1016,United Kingdom
536390,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,09/18/2011 17:00,4.25,UK1016,United Kingdom
536390,20725,LUNCH BAG RED RETROSPOT,30,09/18/2011 17:00,1.65,UK1016,United Kingdom
536391,84029E,RED WOOLLY HOTTIE WHITE HEART,16,06/19/2011 11:00,3.39,UK1036,United Kingdom
536391,47566,PARTY BUNTING,30,06/19/2011 11:00,4.95,UK1036,United Kingdom
536391,22633,HAND WARMER UNION JACK,33,06/19/2011 11:00,1.85,UK1036,United Kingdom
536391,84879,ASSORTED COLOUR BIRD ORNAMENT,37,06/19/2011 11:00,1.69,UK1036,United Kingdom
536392,71053,WHITE METAL LANTERN,32,06/25/2011 08:00,3.39,UK1017,United Kingdom
536392,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,06/25/2011 08:00,2.55,UK1017,United Kingdom
536393,22632,HAND WARMER RED POLKA DOT,15,10-04-2011 08:00,1.85,UK1030,United Kingdom
536393,84406B,CREAM CUPID HEARTS COAT HANGER,39,10-04-2011 08:00,2.75,UK1030,United Kingdom
536393,22752,SET 7 BABUSHKA NESTING BOXES,3,10-04-2011 08:00,7.65,UK1030,United Kingdom
536393,21754,HOME BUILDING BLOCK WORD,30,10-04-2011 08:00,5.95,UK1030,United Kingdom
536394,22752,SET 7 BABUSHKA NESTING BOXES,15,05/31/2011 17:00,7.65,UK1032,United Kingdom
